"region_chr","region_start","region_end","promoter_chr","promoter_start","promoter_end","gene_id","overlap_bp","frac_region_covered","frac_promoter_covered"
"chr1",247400001,248900000,"chr1",247768888,247768888,"81469",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",247751662,247751662,"81470",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",247697141,247697141,"81472",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",247495045,247495045,"84838",1,6.66666666666667e-07,1
"chr10",1800001,2700000,"chr10",2056542,2056542,"282980",1,1.11111111111111e-06,1
"chr10",1800001,2700000,"chr10",2357268,2357268,"399708",1,1.11111111111111e-06,1
"chr10",12600001,13000000,"chr10",12620752,12620752,"100616151",1,2.5e-06,1
"chr10",12600001,13000000,"chr10",12875133,12875133,"283070",1,2.5e-06,1
"chr10",44200001,45000000,"chr10",44788198,44788198,"100130539",1,1.25e-06,1
"chr10",44200001,45000000,"chr10",44354859,44354859,"100506835",1,1.25e-06,1
"chr10",44200001,45000000,"chr10",44285865,44285865,"10151",1,1.25e-06,1
"chr10",44200001,45000000,"chr10",44404752,44404752,"283033",1,1.25e-06,1
"chr10",44200001,45000000,"chr10",44340754,44340754,"414260",1,1.25e-06,1
"chr10",44200001,45000000,"chr10",44880545,44880545,"6387",1,1.25e-06,1
"chr10",54000001,54200000,"chr10",54073888,54073888,"100506939",1,5e-06,1
"chr10",54000001,54200000,"chr10",54074041,54074041,"22943",1,5e-06,1
"chr10",57600001,59200000,"chr10",59064319,59064319,"100500834",1,6.25e-07,1
"chr10",57600001,59200000,"chr10",58121034,58121034,"11130",1,6.25e-07,1
"chr10",71400001,71700000,"chr10",71561644,71561644,"1305",1,3.33333333333333e-06,1
"chr10",77400001,77600000,"chr10",77542519,77542519,"83938",1,5e-06,1
"chr10",78700001,79700000,"chr10",79686570,79686570,"100128292",1,1e-06,1
"chr10",78700001,79700000,"chr10",79397577,79397577,"3778",1,1e-06,1
"chr10",78700001,79700000,"chr10",79686348,79686348,"9231",1,1e-06,1
"chr10",87100001,88500000,"chr10",87337488,87337488,"100507470",1,7.14285714285714e-07,1
"chr10",87100001,88500000,"chr10",88426551,88426551,"11155",1,7.14285714285714e-07,1
"chr10",87100001,88500000,"chr10",88281541,88281541,"23063",1,7.14285714285714e-07,1
"chr10",87100001,88500000,"chr10",88126250,88126250,"2894",1,7.14285714285714e-07,1
"chr10",87100001,88500000,"chr10",88024545,88024545,"442911",1,7.14285714285714e-07,1
"chr10",87100001,88500000,"chr10",88414314,88414314,"94233",1,7.14285714285714e-07,1
"chr10",118200001,119100000,"chr10",118927285,118927285,"100500893",1,1.11111111111111e-06,1
"chr10",118200001,119100000,"chr10",118897812,118897812,"11023",1,1.11111111111111e-06,1
"chr10",118200001,119100000,"chr10",118429775,118429775,"143379",1,1.11111111111111e-06,1
"chr10",118200001,119100000,"chr10",118609716,118609716,"259217",1,1.11111111111111e-06,1
"chr10",118200001,119100000,"chr10",118957000,118957000,"338567",1,1.11111111111111e-06,1
"chr10",118200001,119100000,"chr10",118609023,118609023,"387712",1,1.11111111111111e-06,1
"chr10",118200001,119100000,"chr10",118305428,118305428,"5406",1,1.11111111111111e-06,1
"chr10",118200001,119100000,"chr10",118350490,118350490,"5407",1,1.11111111111111e-06,1
"chr10",118200001,119100000,"chr10",118380465,118380465,"5408",1,1.11111111111111e-06,1
"chr10",118200001,119100000,"chr10",118886097,118886097,"57698",1,1.11111111111111e-06,1
"chr10",118200001,119100000,"chr10",119000584,119000584,"6571",1,1.11111111111111e-06,1
"chr10",121700001,122600000,"chr10",121718025,121718025,"100616322",1,1.11111111111111e-06,1
"chr10",121700001,122600000,"chr10",122216466,122216466,"196051",1,1.11111111111111e-06,1
"chr10",122900001,123700000,"chr10",123688217,123688217,"11101",1,1.25e-06,1
"chr10",122900001,123700000,"chr10",123357972,123357972,"2263",1,1.25e-06,1
"chr10",128300001,128400000,"chr10",128359079,128359079,"118611",1,1e-05,1
"chr10",128500001,129100000,"chr10",128594023,128594023,"1793",1,1.66666666666667e-06,1
"chr10",128500001,129100000,"chr10",128994422,128994422,"642938",1,1.66666666666667e-06,1
"chr11",19200001,19700000,"chr11",19596857,19596857,"100616118",1,2e-06,1
"chr11",19200001,19700000,"chr11",19528776,19528776,"100874012",1,2e-06,1
"chr11",19200001,19700000,"chr11",19545625,19545625,"399876",1,2e-06,1
"chr11",19200001,19700000,"chr11",19263202,19263202,"79733",1,2e-06,1
"chr11",19200001,19700000,"chr11",19232118,19232118,"8048",1,2e-06,1
"chr11",19200001,19700000,"chr11",19372271,19372271,"89797",1,2e-06,1
"chr11",48400001,48800000,"chr11",48510345,48510345,"403253",1,2.5e-06,1
"chr11",103400001,104100000,"chr11",103720634,103720634,"100616457",1,1.42857142857143e-06,1
"chr11",103400001,104100000,"chr11",103907308,103907308,"414301",1,1.42857142857143e-06,1
"chr11",103400001,104100000,"chr11",104035027,104035027,"80310",1,1.42857142857143e-06,1
"chr11",115000001,116100000,"chr11",115375241,115375241,"23705",1,9.09090909090909e-07,1
"chr11",115000001,116100000,"chr11",115631345,115631345,"283143",1,9.09090909090909e-07,1
"chr12",23600001,24800000,"chr12",24365355,24365355,"100126320",1,8.33333333333333e-07,1
"chr12",23600001,24800000,"chr12",24737102,24737102,"144360",1,8.33333333333333e-07,1
"chr12",23600001,24800000,"chr12",24715383,24715383,"6660",1,8.33333333333333e-07,1
"chr12",28000001,28200000,"chr12",28124916,28124916,"5744",1,5e-06,1
"chr12",38000001,39300000,"chr12",38710557,38710557,"144245",1,7.69230769230769e-07,1
"chr12",38000001,39300000,"chr12",39299420,39299420,"144402",1,7.69230769230769e-07,1
"chr12",70200001,71300000,"chr12",70760062,70760062,"27345",1,9.09090909090909e-07,1
"chr12",70200001,71300000,"chr12",70636774,70636774,"4848",1,9.09090909090909e-07,1
"chr12",70200001,71300000,"chr12",71031220,71031220,"5787",1,9.09090909090909e-07,1
"chr12",80900001,81200000,"chr12",81110708,81110708,"4617",1,3.33333333333333e-06,1
"chr12",80900001,81200000,"chr12",81101408,81101408,"4618",1,3.33333333333333e-06,1
"chr12",95500001,95800000,"chr12",95703699,95703699,"100500802",1,3.33333333333333e-06,1
"chr12",95500001,95800000,"chr12",95702196,95702196,"442903",1,3.33333333333333e-06,1
"chr12",95500001,95800000,"chr12",95611522,95611522,"55591",1,3.33333333333333e-06,1
"chr12",95500001,95800000,"chr12",95611240,95611240,"55785",1,3.33333333333333e-06,1
"chr12",95900001,96000000,"chr12",95945263,95945263,"84101",1,1e-05,1
"chr12",99500001,100200000,"chr12",100041528,100041528,"196472",1,1.42857142857143e-06,1
"chr12",103400001,103900000,"chr12",103889749,103889749,"374470",1,2e-06,1
"chr12",126500001,128900000,"chr12",126927027,126927027,"100128554",1,4.16666666666667e-07,1
"chr12",126500001,128900000,"chr12",128778637,128778637,"100500817",1,4.16666666666667e-07,1
"chr12",126500001,128900000,"chr12",127221553,127221553,"100507206",1,4.16666666666667e-07,1
"chr12",126500001,128900000,"chr12",128399955,128399955,"100862680",1,4.16666666666667e-07,1
"chr12",126500001,128900000,"chr12",127256808,127256808,"387895",1,4.16666666666667e-07,1
"chr12",126500001,128900000,"chr12",128366162,128366162,"400087",1,4.16666666666667e-07,1
"chr12",126500001,128900000,"chr12",127359236,127359236,"440117",1,4.16666666666667e-07,1
"chr12",126500001,128900000,"chr12",128751948,128751948,"92293",1,4.16666666666667e-07,1
"chr12",129500001,131300000,"chr12",130526887,130526887,"100190940",1,5.55555555555556e-07,1
"chr12",129500001,131300000,"chr12",130647004,130647004,"11211",1,5.55555555555556e-07,1
"chr12",129500001,131300000,"chr12",130388212,130388212,"121256",1,5.55555555555556e-07,1
"chr12",129500001,131300000,"chr12",131200826,131200826,"23504",1,5.55555555555556e-07,1
"chr12",129500001,131300000,"chr12",130646768,130646768,"440119",1,5.55555555555556e-07,1
"chr12",129500001,131300000,"chr12",130822433,130822433,"9271",1,5.55555555555556e-07,1
"chr12",131600001,132000000,"chr12",131649556,131649556,"116437",1,2.5e-06,1
"chr13",22400001,23100000,"chr13",22452299,22452299,"100874182",1,1.42857142857143e-06,1
"chr13",31800001,32400000,"chr13",32313679,32313679,"122042",1,1.66666666666667e-06,1
"chr13",39200001,39400000,"chr13",39261173,39261173,"341640",1,5e-06,1
"chr13",60200001,60700000,"chr13",60586885,60586885,"100874195",1,2e-06,1
"chr13",80800001,81500000,"chr13",80915086,80915086,"10253",1,1.42857142857143e-06,1
"chr13",95500001,96100000,"chr13",95953687,95953687,"10257",1,1.66666666666667e-06,1
"chr13",95500001,96100000,"chr13",96085853,96085853,"9071",1,1.66666666666667e-06,1
"chr13",96500001,96900000,"chr13",96743093,96743093,"266722",1,2.5e-06,1
"chr13",96500001,96900000,"chr13",96705736,96705736,"55757",1,2.5e-06,1
"chr13",102500001,102800000,"chr13",102620096,102620096,"100616110",1,3.33333333333333e-06,1
"chr13",102500001,102800000,"chr13",102698354,102698354,"100616239",1,3.33333333333333e-06,1
"chr13",103700001,104000000,"chr13",103934848,103934848,"100847092",1,3.33333333333333e-06,1
"chr13",103700001,104000000,"chr13",103719196,103719196,"6555",1,3.33333333333333e-06,1
"chr14",37000001,37300000,"chr14",37051786,37051786,"26257",1,3.33333333333333e-06,1
"chr14",37000001,37300000,"chr14",37126773,37126773,"5083",1,3.33333333333333e-06,1
"chr14",94900001,95100000,"chr14",95058395,95058395,"12",1,5e-06,1
"chr14",94900001,95100000,"chr14",94984181,94984181,"145264",1,5e-06,1
"chr14",94900001,95100000,"chr14",94919122,94919122,"256394",1,5e-06,1
"chr14",94900001,95100000,"chr14",94942670,94942670,"327657",1,5e-06,1
"chr14",94900001,95100000,"chr14",95047706,95047706,"5104",1,5e-06,1
"chr14",94900001,95100000,"chr14",95027779,95027779,"5267",1,5e-06,1
"chr15",20500001,20800000,"chr15",20711433,20711433,"283755",1,3.33333333333333e-06,1
"chr15",20500001,20800000,"chr15",20747114,20747114,"727832",1,3.33333333333333e-06,1
"chr15",20500001,20800000,"chr15",20767674,20767674,"729786",1,3.33333333333333e-06,1
"chr15",23700001,25400000,"chr15",25296623,25296623,"100033413",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25299356,25299356,"100033414",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25302006,25302006,"100033415",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25304684,25304684,"100033416",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25307479,25307479,"100033417",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25315578,25315578,"100033420",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25319260,25319260,"100033422",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25321075,25321075,"100033423",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25322197,25322197,"100033424",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25324204,25324204,"100033425",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25326433,25326433,"100033427",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25327914,25327914,"100033428",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25330531,25330531,"100033430",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25332808,25332808,"100033431",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25335059,25335059,"100033433",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25336932,25336932,"100033434",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25339183,25339183,"100033435",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25342809,25342809,"100033436",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25344645,25344645,"100033438",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25349788,25349788,"100033820",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25351667,25351667,"100033821",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",23807278,23807278,"100616275",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25380789,25380789,"145624",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",24920541,24920541,"23742",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25287121,25287121,"338429",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25227141,25227141,"347746",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25304604,25304604,"3653",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",23932450,23932450,"4692",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",23892993,23892993,"54551",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25068794,25068794,"6638",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25328734,25328734,"727708",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",23810454,23810454,"7681",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",24778839,24778839,"791114",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",24415053,24415053,"791115",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25230007,25230007,"8123",1,5.88235294117647e-07,1
"chr15",23700001,25400000,"chr15",25200070,25200070,"8926",1,5.88235294117647e-07,1
"chr15",26400001,28300000,"chr15",27111866,27111866,"2558",1,5.26315789473684e-07,1
"chr15",26400001,28300000,"chr15",27184686,27184686,"2562",1,5.26315789473684e-07,1
"chr15",26400001,28300000,"chr15",27216429,27216429,"2567",1,5.26315789473684e-07,1
"chr15",36000001,36800000,"chr15",36219057,36219057,"100616293",1,1.25e-06,1
"chr15",46400001,47700000,"chr15",47476403,47476403,"80031",1,7.69230769230769e-07,1
"chr15",51500001,51700000,"chr15",51534387,51534387,"100616369",1,5e-06,1
"chr15",51500001,51700000,"chr15",51630795,51630795,"1588",1,5e-06,1
"chr15",51500001,51700000,"chr15",51633713,51633713,"342035",1,5e-06,1
"chr15",53900001,55700000,"chr15",54055075,54055075,"256764",1,5.55555555555556e-07,1
"chr15",53900001,55700000,"chr15",54305101,54305101,"440279",1,5.55555555555556e-07,1
"chr15",53900001,55700000,"chr15",55489231,55489231,"51187",1,5.55555555555556e-07,1
"chr15",53900001,55700000,"chr15",55582013,55582013,"5873",1,5.55555555555556e-07,1
"chr15",53900001,55700000,"chr15",55665232,55665232,"693213",1,5.55555555555556e-07,1
"chr15",53900001,55700000,"chr15",55611133,55611133,"9488",1,5.55555555555556e-07,1
"chr15",60800001,62000000,"chr15",61521502,61521502,"6095",1,8.33333333333333e-07,1
"chr15",71200001,72400000,"chr15",72102894,72102894,"10002",1,8.33333333333333e-07,1
"chr15",71200001,72400000,"chr15",71407839,71407839,"196993",1,8.33333333333333e-07,1
"chr15",71200001,72400000,"chr15",71433788,71433788,"79875",1,8.33333333333333e-07,1
"chr15",86900001,88500000,"chr15",88120160,88120160,"145978",1,6.25e-07,1
"chr15",92000001,93000000,"chr15",92396938,92396938,"28232",1,1e-06,1
"chr15",92000001,93000000,"chr15",92937140,92937140,"8128",1,1e-06,1
"chr15",95500001,96700000,"chr15",95976322,95976322,"145820",1,8.33333333333333e-07,1
"chr15",95500001,96700000,"chr15",95870329,95870329,"400456",1,8.33333333333333e-07,1
"chr15",96800001,98200000,"chr15",96876490,96876490,"100302258",1,7.14285714285714e-07,1
"chr15",96800001,98200000,"chr15",97326567,97326567,"100652749",1,7.14285714285714e-07,1
"chr15",96800001,98200000,"chr15",97326679,97326679,"145946",1,7.14285714285714e-07,1
"chr15",96800001,98200000,"chr15",96870590,96870590,"644192",1,7.14285714285714e-07,1
"chr15",96800001,98200000,"chr15",96869157,96869157,"7026",1,7.14285714285714e-07,1
"chr16",34600001,35200000,"chr16",34740840,34740840,"100130700",1,1.66666666666667e-06,1
"chr16",34600001,35200000,"chr16",34980894,34980894,"100887740",1,1.66666666666667e-06,1
"chr16",34600001,35200000,"chr16",34714967,34714967,"146481",1,1.66666666666667e-06,1
"chr16",34600001,35200000,"chr16",34980923,34980923,"400533",1,1.66666666666667e-06,1
"chr16",48900001,49700000,"chr16",49407808,49407808,"123970",1,1.25e-06,1
"chr16",48900001,49700000,"chr16",49315742,49315742,"869",1,1.25e-06,1
"chr16",59800001,64200000,"chr16",62070739,62070739,"1006",1,2.27272727272727e-07,1
"chr17",8600001,9000000,"chr17",8648154,8648154,"146849",1,2.5e-06,1
"chr17",8600001,9000000,"chr17",8770994,8770994,"146850",1,2.5e-06,1
"chr17",8600001,9000000,"chr17",8702667,8702667,"162387",1,2.5e-06,1
"chr17",8600001,9000000,"chr17",8869029,8869029,"23533",1,2.5e-06,1
"chr17",8600001,9000000,"chr17",8661877,8661877,"388333",1,2.5e-06,1
"chr17",8600001,9000000,"chr17",8924859,8924859,"9423",1,2.5e-06,1
"chr17",10600001,11800000,"chr17",10707416,10707416,"100289255",1,8.33333333333333e-07,1
"chr17",10600001,11800000,"chr17",10619899,10619899,"100506898",1,8.33333333333333e-07,1
"chr17",10600001,11800000,"chr17",10633094,10633094,"101101775",1,8.33333333333333e-07,1
"chr17",10600001,11800000,"chr17",11501748,11501748,"1770",1,8.33333333333333e-07,1
"chr17",10600001,11800000,"chr17",10633646,10633646,"388335",1,8.33333333333333e-07,1
"chr17",10600001,11800000,"chr17",11144740,11144740,"388336",1,8.33333333333333e-07,1
"chr17",10600001,11800000,"chr17",10600927,10600927,"56985",1,8.33333333333333e-07,1
"chr17",10600001,11800000,"chr17",10600885,10600885,"6341",1,8.33333333333333e-07,1
"chr17",10600001,11800000,"chr17",10741418,10741418,"644139",1,8.33333333333333e-07,1
"chr17",20400001,20700000,"chr17",20615759,20615759,"100287072",1,3.33333333333333e-06,1
"chr17",20400001,20700000,"chr17",20483037,20483037,"256223",1,3.33333333333333e-06,1
"chr17",20400001,20700000,"chr17",20407811,20407811,"644945",1,3.33333333333333e-06,1
"chr17",21500001,22300000,"chr17",22022437,22022437,"100462977",1,1.25e-06,1
"chr17",21500001,22300000,"chr17",21825370,21825370,"284123",1,1.25e-06,1
"chr17",21500001,22300000,"chr17",21904062,21904062,"284124",1,1.25e-06,1
"chr17",31100001,31600000,"chr17",31318882,31318882,"124912",1,2e-06,1
"chr17",31100001,31600000,"chr17",31254928,31254928,"26022",1,2e-06,1
"chr17",31100001,31600000,"chr17",31203902,31203902,"4642",1,2e-06,1
"chr17",50100001,52900000,"chr17",51062880,51062880,"100506650",1,3.57142857142857e-07,1
"chr17",50100001,52900000,"chr17",50237377,50237377,"56934",1,3.57142857142857e-07,1
"chr17",50100001,52900000,"chr17",51900239,51900239,"84643",1,3.57142857142857e-07,1
"chr17",60900001,61500000,"chr17",61086898,61086898,"26115",1,1.66666666666667e-06,1
"chr17",64200001,65100000,"chr17",64831235,64831235,"27091",1,1.11111111111111e-06,1
"chr17",64200001,65100000,"chr17",64960980,64960980,"27092",1,1.11111111111111e-06,1
"chr17",64200001,65100000,"chr17",64225556,64225556,"350",1,1.11111111111111e-06,1
"chr17",64200001,65100000,"chr17",64298926,64298926,"5578",1,1.11111111111111e-06,1
"chr17",64200001,65100000,"chr17",64783190,64783190,"693219",1,1.11111111111111e-06,1
"chr17",64200001,65100000,"chr17",65040652,65040652,"786",1,1.11111111111111e-06,1
"chr17",65200001,65700000,"chr17",65373397,65373397,"26207",1,2e-06,1
"chr17",65200001,65700000,"chr17",65362721,65362721,"5718",1,2e-06,1
"chr17",65200001,65700000,"chr17",65241319,65241319,"9931",1,2e-06,1
"chr18",5800001,6000000,"chr18",5840694,5840694,"100616244",1,5e-06,1
"chr18",5800001,6000000,"chr18",5892103,5892103,"645369",1,5e-06,1
"chr18",19600001,20100000,"chr18",19748929,19748929,"100128893",1,2e-06,1
"chr18",19600001,20100000,"chr18",19749404,19749404,"2627",1,2e-06,1
"chr18",19600001,20100000,"chr18",19997878,19997878,"64693",1,2e-06,1
"chr18",24000001,24900000,"chr18",24445272,24445272,"147429",1,1.11111111111111e-06,1
"chr18",24000001,24900000,"chr18",24237365,24237365,"284252",1,1.11111111111111e-06,1
"chr18",24000001,24900000,"chr18",24445716,24445716,"361",1,1.11111111111111e-06,1
"chr18",24000001,24900000,"chr18",24283602,24283602,"728606",1,1.11111111111111e-06,1
"chr18",24000001,24900000,"chr18",24765302,24765302,"83539",1,1.11111111111111e-06,1
"chr18",30900001,32100000,"chr18",32073254,32073254,"1837",1,8.33333333333333e-07,1
"chr18",30900001,32100000,"chr18",31020685,31020685,"374864",1,8.33333333333333e-07,1
"chr18",30900001,32100000,"chr18",31158541,31158541,"80816",1,8.33333333333333e-07,1
"chr18",30900001,32100000,"chr18",31803515,31803515,"8715",1,8.33333333333333e-07,1
"chr18",54700001,54900000,"chr18",54739350,54739350,"100885779",1,5e-06,1
"chr18",54700001,54900000,"chr18",54814293,54814293,"284257",1,5e-06,1
"chr18",59000001,59300000,"chr18",59000988,59000988,"28316",1,3.33333333333333e-06,1
"chr18",67000001,67600000,"chr18",67068284,67068284,"220164",1,1.66666666666667e-06,1
"chr18",70500001,71100000,"chr18",70992176,70992176,"100505817",1,1.66666666666667e-06,1
"chr18",70500001,71100000,"chr18",70931733,70931733,"400655",1,1.66666666666667e-06,1
"chr18",70500001,71100000,"chr18",70534810,70534810,"81832",1,1.66666666666667e-06,1
"chr19",1,700000,"chr19",676389,676389,"10272",1,1.42857142857143e-06,1
"chr19",1,700000,"chr19",409170,409170,"126567",1,1.42857142857143e-06,1
"chr19",1,700000,"chr19",460996,460996,"25759",1,1.42857142857143e-06,1
"chr19",1,700000,"chr19",639926,639926,"27006",1,1.42857142857143e-06,1
"chr19",1,700000,"chr19",474983,474983,"284451",1,1.42857142857143e-06,1
"chr19",1,700000,"chr19",544034,544034,"3004",1,1.42857142857143e-06,1
